"","Date","sulfate","nitrate","ID"
"9022","2004-06-20",6.72,0.279,8
"9081","2004-06-26",7.98,0.171,8
"9141","2004-07-02",1.82,0.236,8
"9202","2004-07-08",3.1,0.253,8
"9322","2004-07-20",13.4,0.309,8
"9382","2004-07-26",5.15,0.492,8
"9442","2004-08-01",3.92,0.269,8
"9502","2004-08-07",7.68,0.186,8
"9562","2004-08-13",5.46,0.208,8
"9622","2004-08-19",8.98,0.189,8
"9682","2004-08-25",5.09,0.637,8
"9742","2004-08-31",12,0.218,8
"9802","2004-09-06",5.25,0.218,8
"9862","2004-09-12",7.22,0.213,8
"9922","2004-09-18",2.66,0.198,8
"9982","2004-09-24",8.07,0.304,8
"10042","2004-09-30",4.8,0.489,8
"10101","2004-10-06",5.69,0.402,8
"10161","2004-10-12",2.59,0.274,8
"10222","2004-10-18",3.61,0.351,8
"10282","2004-10-24",3.17,0.452,8
"10342","2004-10-30",7.64,0.316,8
"10402","2004-11-05",1.83,0.848,8
"10462","2004-11-11",2.87,0.714,8
"10522","2004-11-17",4.08,1.21,8
"10761","2004-12-11",2.39,0.483,8
"10822","2004-12-17",1.94,1.57,8
"10882","2004-12-23",2.44,1.03,8
"10942","2004-12-29",2.82,1.28,8
"11002","2005-01-04",2.59,0.501,8
"11062","2005-01-10",4.45,1.35,8
"11122","2005-01-16",3.47,3.53,8
"11182","2005-01-22",3.43,2.9,8
"11242","2005-01-28",2.32,1.56,8
"11302","2005-02-03",4.77,1.72,8
"11362","2005-02-09",3.87,2.96,8
"11422","2005-02-15",2.49,0.463,8
"11482","2005-02-21",4.37,0.67,8
"11602","2005-03-05",2.31,0.878,8
"11661","2005-03-11",1.54,0.361,8
"11722","2005-03-17",3.5,2.89,8
"11781","2005-03-23",1.75,0.551,8
"11842","2005-03-29",2.51,0.922,8
"11902","2005-04-04",2.04,0.224,8
"11961","2005-04-10",4.72,0.293,8
"12022","2005-04-16",5.55,0.466,8
"12082","2005-04-22",3.09,0.684,8
"12142","2005-04-28",2.16,0.454,8
"12262","2005-05-10",5.41,0.491,8
"12322","2005-05-16",3.63,0.365,8
"12382","2005-05-22",9.31,0.502,8
"12442","2005-05-28",3.86,0.598,8
"12502","2005-06-03",4.74,0.299,8
"12562","2005-06-09",11.3,0.346,8
"12622","2005-06-15",1.96,0.359,8
"12682","2005-06-21",9.84,0.431,8
"12802","2005-07-03",5.22,0.45,8
"12861","2005-07-09",10.2,0.205,8
"1292","2005-07-15",3.18,0.223,8
"13042","2005-07-27",11.8,0.214,8
"13102","2005-08-02",8.43,0.24,8
"13162","2005-08-08",5.39,0.126,8
"13342","2005-08-26",11.7,0.253,8
"1340","2005-09-01",5.45,0.309,8
"13462","2005-09-07",5.35,0.273,8
"13522","2005-09-13",20.2,0.496,8
"13582","2005-09-19",4.73,0.342,8
"1001","2005-04-10",3.49,0.492,9
"1061","2005-04-16",2.8,0.566,9
"1121","2005-04-22",2.64,0.781,9
"118","2005-04-28",2.9,0.62,9
"1241","2005-05-04",4.44,0.247,9
"1301","2005-05-10",5.11,0.402,9
"136","2005-05-16",4.25,0.207,9
"1421","2005-05-22",6.14,0.407,9
"1481","2005-05-28",8.5,0.53,9
"154","2005-06-03",3.02,0.498,9
"1601","2005-06-09",3,0.221,9
"1661","2005-06-15",5.6,0.375,9
"1721","2005-06-21",7.66,0.362,9
"1781","2005-06-27",4.13,0.237,9
"1841","2005-07-03",4.34,0.357,9
"1901","2005-07-09",4.25,0.307,9
"1961","2005-07-15",1.59,0.412,9
"2081","2005-07-27",15.9,0.189,9
"214","2005-08-02",2.84,0.267,9
"2201","2005-08-08",3.05,0.171,9
"2261","2005-08-14",5.91,0.321,9
"2321","2005-08-20",11.5,0.266,9
"2381","2005-08-26",11.5,0.202,9
"2441","2005-09-01",10.7,0.252,9
"2561","2005-09-13",16.2,0.452,9
"2621","2005-09-19",7.5,0.205,9
"268","2005-09-25",2.15,0.243,9
"2741","2005-10-01",7.5,0.311,9
"280","2005-10-07",1.48,0.126,9
"2861","2005-10-13",9.35,0.436,9
"2921","2005-10-19",6.32,0.779,9
"298","2005-10-25",2.57,0.355,9
"3161","2005-11-12",2.74,0.557,9
"328","2005-11-24",1.5,0.48,9
"334","2005-11-30",1.28,0.596,9
"340","2005-12-06",3.27,2.11,9
"346","2005-12-12",0.962,0.56,9
"3521","2005-12-18",2.58,1.3,9
"3581","2005-12-24",2.52,1.62,9
"370","2006-01-05",3.96,0.979,9
"376","2006-01-11",2.65,0.796,9
"3821","2006-01-17",1.72,0.307,9
"3881","2006-01-23",1.27,0.453,9
"3941","2006-01-29",2.48,0.616,9
"4001","2006-02-04",1.97,0.185,9
"4061","2006-02-10",3.15,1.6,9
"4121","2006-02-16",2.71,1.01,9
"4181","2006-02-22",3.49,0.792,9
"4241","2006-02-28",2.42,0.661,9
"4421","2006-03-18",9.66,0.577,9
"448","2006-03-24",2.29,1.13,9
"4541","2006-03-30",4.8,1.31,9
"4601","2006-04-05",2.52,0.525,9
"4661","2006-04-11",2.01,0.836,9
"4721","2006-04-17",5.57,0.716,9
"4781","2006-04-23",5.45,0.572,9
"4841","2006-04-29",6.32,0.427,9
"4901","2006-05-05",4.34,0.443,9
"4961","2006-05-11",2.05,0.23,9
"5021","2006-05-17",4.31,0.469,9
"5081","2006-05-23",7.9,0.601,9
"5141","2006-05-29",7.28,0.471,9
"5201","2006-06-04",6.03,0.271,9
"5261","2006-06-10",7.58,0.548,9
"5321","2006-06-16",8.92,0.304,9
"5441","2006-06-28",7.12,0.331,9
"5501","2006-07-04",4.49,0.565,9
"556","2006-07-10",8.13,0.418,9
"5621","2006-07-16",2.71,0.176,9
"5741","2006-07-28",2.58,0.336,9
"5801","2006-08-03",5.3,0.343,9
"5861","2006-08-09",5.19,0.132,9
"5921","2006-08-15",3.15,0.358,9
"5981","2006-08-21",11.2,0.328,9
"6221","2006-09-14",8.74,0.151,9
"6281","2006-09-20",2.09,0.263,9
"634","2006-09-26",4.14,0.282,9
"6401","2006-10-02",6.95,0.457,9
"6461","2006-10-08",2.23,0.14,9
"6701","2006-11-01",2.76,0.579,9
"6761","2006-11-07",2.43,0.777,9
"6821","2006-11-13",4.4,0.67,9
"6881","2006-11-19",5.79,2.96,9
"6941","2006-11-25",2.56,0.657,9
"700","2006-12-01",1.46,0.25,9
"7061","2006-12-07",1.68,1.07,9
"7121","2006-12-13",2.26,1.21,9
"7181","2006-12-19",5.88,0.88,9
"7241","2006-12-25",1.12,0.225,9
"7301","2006-12-31",2.12,0.371,9
"736","2007-01-06",2.14,0.504,9
"7421","2007-01-12",2.09,0.778,9
"7481","2007-01-18",3.33,1.04,9
"7541","2007-01-24",2.97,1.19,9
"7601","2007-01-30",1.46,1.41,9
"7661","2007-02-05",0.997,1.51,9
"7721","2007-02-11",1.5,1.49,9
"7781","2007-02-17",2.49,1.85,9
"7841","2007-02-23",1.21,0.215,9
"790","2007-03-01",3.29,0.511,9
"7961","2007-03-07",2.45,1.4,9
"8021","2007-03-13",5.49,0.846,9
"814","2007-03-25",4.43,0.755,9
"8201","2007-03-31",5.14,0.721,9
"826","2007-04-06",3.79,0.605,9
"8321","2007-04-12",1.53,0.426,9
"8381","2007-04-18",3.42,0.928,9
"8441","2007-04-24",1.9,0.835,9
"8501","2007-04-30",5.39,0.53,9
"8561","2007-05-06",9.29,0.374,9
"8621","2007-05-12",10.3,0.523,9
"8681","2007-05-18",5.52,0.193,9
"8741","2007-05-24",2.62,0.509,9
"8861","2007-06-05",3.68,0.243,9
"8921","2007-06-11",7.49,0.338,9
"8981","2007-06-17",6.76,0.221,9
"9041","2007-06-23",6.64,0.369,9
"9101","2007-06-29",3.15,0.356,9
"9161","2007-07-05",6.05,0.725,9
"9281","2007-07-17",2.03,0.242,9
"9341","2007-07-23",4.29,0.157,9
"9401","2007-07-29",5.03,0.55,9
"9461","2007-08-04",10.3,0.203,9
"9521","2007-08-10",4.8,0.361,9
"9581","2007-08-16",8.63,0.269,9
"9641","2007-08-22",5.87,0.248,9
"9701","2007-08-28",2.26,0.271,9
"9761","2007-09-03",6.01,0.293,9
"9821","2007-09-09",5.11,0.823,9
"9881","2007-09-15",4.63,0.218,9
"9941","2007-09-21",2.54,0.167,9
"10001","2007-09-27",1.85,0.382,9
"10121","2007-10-09",2.71,0.611,9
"10181","2007-10-15",5.4,0.447,9
"10241","2007-10-21",1.78,0.227,9
"10301","2007-10-27",3.04,0.323,9
"10361","2007-11-02",7.04,0.551,9
"10421","2007-11-08",4.57,1.38,9
"10541","2007-11-20",3.37,0.951,9
"10601","2007-11-26",1.93,0.365,9
"10661","2007-12-02",4.44,0.858,9
"10721","2007-12-08",6.45,1.62,9
"10781","2007-12-14",2.53,0.452,9
"10841","2007-12-20",2.18,0.631,9
"10901","2007-12-26",2.48,1.04,9
"1096","2008-01-01",2.45,0.524,9
"11021","2008-01-07",1.67,0.703,9
"11081","2008-01-13",2.01,0.523,9
"11141","2008-01-19",2,1.23,9
"11201","2008-01-25",1.65,1.77,9
"11261","2008-01-31",1.26,0.816,9
"11321","2008-02-06",1.3,0.237,9
"11381","2008-02-12",1.97,0.784,9
"1144","2008-02-18",1.7,0.215,9
"11501","2008-02-24",6.42,0.66,9
"11561","2008-03-01",2.56,0.717,9
"11621","2008-03-07",1.91,0.37,9
"11681","2008-03-13",2.97,1.34,9
"11741","2008-03-19",3.11,0.477,9
"11801","2008-03-25",4.53,1.09,9
"11861","2008-03-31",2.38,0.458,9
"11981","2008-04-12",1.44,0.259,9
"12041","2008-04-18",3.94,0.93,9
"12101","2008-04-24",1.93,0.67,9
"12161","2008-04-30",3.13,0.649,9
"12221","2008-05-06",4.33,0.248,9
"12281","2008-05-12",1.9,0.236,9
"12341","2008-05-18",2.9,0.196,9
"12401","2008-05-24",4.56,0.406,9
"12461","2008-05-30",6.22,0.604,9
"12521","2008-06-05",1.78,0.271,9
"12581","2008-06-11",5.12,0.335,9
"12641","2008-06-17",3.41,0.257,9
"12701","2008-06-23",4.18,0.316,9
"12761","2008-06-29",1.31,0.342,9
"12821","2008-07-05",2.64,0.427,9
"13241","2008-08-16",12.6,0.224,9
"13301","2008-08-22",6.29,0.251,9
"13361","2008-08-28",6.66,0.217,9
"13421","2008-09-03",4.38,0.217,9
"13481","2008-09-09",1.85,0.313,9
"13541","2008-09-15",3.25,0.248,9
"13601","2008-09-21",2.79,0.441,9
"13661","2008-09-27",4.21,0.618,9
"13721","2008-10-03",3.81,0.61,9
"13841","2008-10-15",2.2,0.527,9
"13901","2008-10-21",5.36,0.469,9
"13961","2008-10-27",1.11,0.244,9
"14021","2008-11-02",2.82,0.585,9
"14081","2008-11-08",0.747,0.348,9
"14141","2008-11-14",1.32,0.667,9
"14201","2008-11-20",2.49,1.19,9
"14261","2008-11-26",1.08,0.917,9
"14321","2008-12-02",2.11,0.965,9
"14381","2008-12-08",1.79,1.15,9
"14441","2008-12-14",2.29,0.58,9
"14501","2008-12-20",3.99,0.42,9
"14561","2008-12-26",2.22,0.58,9
"14621","2009-01-01",1.16,0.613,9
"1468","2009-01-07",0.608,0.223,9
"14741","2009-01-13",1.8,0.657,9
"14801","2009-01-19",1.28,0.545,9
"14861","2009-01-25",4.31,3.36,9
"14921","2009-01-31",1.67,1.31,9
"15041","2009-02-12",0.69,0.467,9
"15101","2009-02-18",3.47,0.719,9
"15161","2009-02-24",2.46,1.71,9
"15221","2009-03-02",1.97,1.44,9
"15281","2009-03-08",2.3,0.553,9
"15341","2009-03-14",5.41,1.61,9
"15401","2009-03-20",2.13,0.242,9
"15581","2009-04-07",2.59,0.463,9
"15641","2009-04-13",1.62,0.398,9
"15761","2009-04-25",1.77,0.331,9
"15821","2009-05-01",2.4,0.478,9
"15881","2009-05-07",1.33,0.196,9
"15941","2009-05-13",2.75,0.323,9
"16001","2009-05-19",1.7,0.284,9
"16061","2009-05-25",1.88,0.247,9
"1612","2009-05-31",2.84,0.27,9
"16181","2009-06-06",6.77,0.236,9
"16241","2009-06-12",3.16,0.414,9
"16301","2009-06-18",6.03,0.234,9
"16361","2009-06-24",4.76,0.226,9
"16421","2009-06-30",1.85,0.268,9
"16481","2009-07-06",1.19,0.141,9
"16541","2009-07-12",2.59,0.227,9
"16601","2009-07-18",1.58,0.149,9
"16661","2009-07-24",4.06,0.219,9
"16721","2009-07-30",1.98,0.308,9
"16781","2009-08-05",2.01,0.376,9
"16841","2009-08-11",3.38,0.281,9
"16901","2009-08-17",1.02,0.214,9
"16961","2009-08-23",2.78,0.105,9
"17021","2009-08-29",3.01,0.188,9
"17081","2009-09-04",1.6,0.297,9
"17141","2009-09-10",2.78,0.123,9
"17201","2009-09-16",2.53,0.355,9
"17261","2009-09-22",2.07,0.264,9
"17321","2009-09-28",4.01,0.22,9
"17381","2009-10-04",1.27,0.189,9
"17441","2009-10-10",1.08,0.0952,9
"17561","2009-10-22",1.69,0.429,9
"17621","2009-10-28",1.84,0.26,9
"17681","2009-11-03",2.12,0.422,9
"17741","2009-11-09",2.55,0.332,9
"17861","2009-11-21",2.5,0.779,9
"17921","2009-11-27",1.03,0.438,9
"17981","2009-12-03",1.87,0.445,9
"1804","2009-12-09",1.89,0.233,9
"18101","2009-12-15",1.56,0.27,9
"18161","2009-12-21",3.95,1.72,9
"18221","2009-12-27",1.3,0.699,9
"1828","2010-01-02",1.54,0.927,9
"18341","2010-01-08",2.75,2.86,9
"18401","2010-01-14",3.58,3,9
"18461","2010-01-20",2.85,0.884,9
"18522","2010-01-26",0.824,0.335,9
"1858","2010-02-01",3.09,0.995,9
"18701","2010-02-13",3.29,3.15,9
"18761","2010-02-19",0.841,0.759,9
"18821","2010-02-25",2.55,1.05,9
"18881","2010-03-03",4.11,1.34,9
"18941","2010-03-09",2.39,1.31,9
"19001","2010-03-15",2.6,0.144,9
"19061","2010-03-21",2.63,0.316,9
"19121","2010-03-27",2.77,0.54,9
"19181","2010-04-02",2.41,0.739,9
"19241","2010-04-08",2.2,0.299,9
"19301","2010-04-14",2.87,0.621,9
"19361","2010-04-20",2.68,0.545,9
"19421","2010-04-26",1.59,0.183,9
"19481","2010-05-02",4.04,0.631,9
"19541","2010-05-08",4.24,0.327,9
"395","2002-02-08",0.782,2.05,10
"504","2002-02-19",0.665,0.544,10
"563","2002-02-25",0.537,0.977,10
"684","2002-03-09",1.25,1,10
"749","2002-03-15",0.985,0.722,10
"77","2002-03-18",1.04,2.39,10
"83","2002-03-24",0.698,0.589,10
"89","2002-03-30",0.755,0.396,10
"95","2002-04-05",1.55,1.05,10
"989","2002-04-08",1.31,1.21,10
"101","2002-04-11",1.52,0.218,10
"1049","2002-04-14",0.903,1.36,10
"113","2002-04-23",0.913,0.427,10
"1169","2002-04-26",1.05,0.334,10
"119","2002-04-29",1.21,1.12,10
"1284","2002-05-08",0.873,0.482,10
"1349","2002-05-14",0.634,0.339,10
"137","2002-05-17",0.866,0.442,10
"1404","2002-05-20",1.1,0.454,10
"1469","2002-05-26",0.659,0.507,10
"1589","2002-06-07",0.595,0.266,10
"167","2002-06-16",0.787,0.456,10
"173","2002-06-22",0.592,0.214,10
"1886","2002-07-07",1.53,0.373,10
"1949","2002-07-13",0.862,0.37,10
"197","2002-07-16",0.706,0.404,10
"2063","2002-07-25",0.966,0.376,10
"209","2002-07-28",0.766,0.393,10
"2309","2002-08-18",0.839,0.315,10
"317","2002-11-13",0.587,0.973,10
"353","2002-12-19",0.753,1.33,10
"365","2002-12-31",0.752,2.16,10
"407","2003-02-11",0.74,0.62,10
"4283","2003-03-04",0.665,0.583,10
"431","2003-03-07",0.514,0.543,10
"4343","2003-03-10",0.86,0.132,10
"437","2003-03-13",1.9,0.205,10
"4461","2003-03-22",1.12,0.741,10
"4523","2003-03-28",0.705,0.231,10
"4583","2003-04-03",0.766,0.629,10
"461","2003-04-06",0.904,0.134,10
"4642","2003-04-09",0.577,0.414,10
"485","2003-04-30",1.14,0.358,10
"491","2003-05-06",1.39,0.77,10
"497","2003-05-12",2.27,0.367,10
"5003","2003-05-15",0.991,0.321,10
"503","2003-05-18",1.02,0.306,10
"5063","2003-05-21",0.783,0.358,10
"509","2003-05-24",0.544,0.165,10
"5363","2003-06-20",0.769,0.323,10
"539","2003-06-23",0.645,0.331,10
"5483","2003-07-02",0.571,0.202,10
"551","2003-07-05",0.741,0.199,10
"557","2003-07-11",0.7,0.36,10
"569","2003-07-23",0.754,0.279,10
"5963","2003-08-19",0.768,0.254,10
"6083","2003-08-31",0.782,0.213,10
"6203","2003-09-12",0.509,0.294,10
"635","2003-09-27",0.538,0.265,10
"701","2003-12-02",1.08,0.936,10
"719","2003-12-20",0.541,1.37,10
"725","2003-12-26",0.778,1.69,10
"7343","2004-01-04",1.65,2.09,10
"755","2004-01-25",0.751,1.29,10
"7583","2004-01-28",0.601,0.59,10
"767","2004-02-06",0.541,0.524,10
"7703","2004-02-09",0.571,1.04,10
"8133","2004-03-23",0.891,1.29,10
"8183","2004-03-28",0.686,0.739,10
"821","2004-03-31",0.983,0.77,10
"8363","2004-04-15",0.625,0.545,10
"857","2004-05-06",0.769,0.585,10
"8631","2004-05-12",1.01,1.73,10
"8663","2004-05-15",0.667,0.28,10
"8723","2004-05-21",1.53,0.44,10
"761","2005-03-17",1.93,0.363,11
"822","2005-03-23",1.76,0.485,11
"851","2005-03-26",1.35,0.473,11
"881","2005-03-29",1.44,0.423,11
"911","2005-04-01",1.38,0.573,11
"941","2005-04-04",1.69,0.625,11
"971","2005-04-07",1.23,0.678,11
"1002","2005-04-10",1.23,0.345,11
"103","2005-04-13",1.08,0.213,11
"1062","2005-04-16",1.1,0.259,11
"1091","2005-04-19",1.72,0.408,11
"1122","2005-04-22",0.557,0.0751,11
"1151","2005-04-25",0.789,0.136,11
"1181","2005-04-28",1.31,0.158,11
"1211","2005-05-01",1.15,0.078,11
"1242","2005-05-04",0.976,0.11,11
"1271","2005-05-07",0.802,0.111,11
"1302","2005-05-10",1.04,0.128,11
"1331","2005-05-13",0.629,0.0826,11
"1391","2005-05-19",0.846,0.136,11
"1422","2005-05-22",1.04,0.173,11
"1571","2005-06-06",0.657,0.136,11
"1602","2005-06-09",0.569,0.126,11
"1662","2005-06-15",0.727,0.21,11
"1751","2005-06-24",0.799,0.184,11
"2742","2005-10-01",0.639,0.197,11
"2892","2005-10-16",0.553,0.141,11
"2922","2005-10-19",1.52,0.338,11
"2951","2005-10-22",1.37,0.51,11
"2981","2005-10-25",0.87,0.404,11
"3012","2005-10-28",0.778,0.453,11
"3041","2005-10-31",1.23,0.382,11
"3072","2005-11-03",3.38,0.901,11
"3101","2005-11-06",2.29,1.07,11
"3162","2005-11-12",3.54,0.801,11
"3194","2005-11-15",5.5,1.44,11
"3221","2005-11-18",0.887,0.274,11
"3254","2005-11-21",1.81,0.808,11
"3281","2005-11-24",1.3,0.457,11
"3311","2005-11-27",5.01,1.17,11
"3341","2005-11-30",3.63,3.19,11
"3401","2005-12-06",2.56,1.3,11
"3433","2005-12-09",2.49,0.507,11
"349","2005-12-15",4.32,1.04,11
"3522","2005-12-18",4.96,1.25,11
"3552","2005-12-21",4.34,0.87,11
"3582","2005-12-24",3.55,1.38,11
"3613","2005-12-27",6.76,1.27,11
"364","2005-12-30",5.81,1.82,11
"373","2006-01-08",5.63,1.53,11
"3793","2006-01-14",3.3,0.928,11
"3852","2006-01-20",7.33,1.2,11
"3882","2006-01-23",6.63,1.33,11
"3913","2006-01-26",11.3,1.37,11
"3942","2006-01-29",6.77,2.21,11
"3972","2006-02-01",1.3,0.76,11
"4033","2006-02-07",2.64,1.31,11
"4062","2006-02-10",1.33,0.298,11
"4093","2006-02-13",1.01,0.256,11
"4122","2006-02-16",2.33,1.09,11
"4153","2006-02-19",1.09,0.199,11
"4182","2006-02-22",1.57,0.334,11
"4213","2006-02-25",3.55,0.902,11
"4242","2006-02-28",3.32,0.822,11
"4273","2006-03-03",4.71,2.52,11
"4301","2006-03-06",3.33,1.03,11
"4333","2006-03-09",2.49,0.363,11
"4361","2006-03-12",2.9,0.329,11
"4393","2006-03-15",3.01,0.513,11
"4422","2006-03-18",3.14,0.555,11
"4453","2006-03-21",2.38,0.846,11
"4481","2006-03-24",1.57,0.61,11
"4513","2006-03-27",2.21,0.901,11
"4542","2006-03-30",3.01,0.972,11
"4602","2006-04-05",1.32,0.201,11
"4632","2006-04-08",1.5,0.581,11
"4662","2006-04-11",1.01,0.203,11
"4693","2006-04-14",1.08,0.187,11
"4722","2006-04-17",1.3,0.304,11
"4752","2006-04-20",0.86,0.197,11
"4813","2006-04-26",1.48,0.263,11
"4842","2006-04-29",1.32,0.349,11
"4902","2006-05-05",0.689,0.257,11
"4933","2006-05-08",0.675,0.212,11
"4993","2006-05-14",0.677,0.161,11
"5022","2006-05-17",0.923,0.211,11
"5053","2006-05-20",1.01,0.146,11
"5082","2006-05-23",0.642,0.157,11
"5113","2006-05-26",2.8,0.192,11
"5142","2006-05-29",0.802,0.121,11
"5173","2006-06-01",0.725,0.099,11
"5233","2006-06-07",1.07,0.132,11
"5262","2006-06-10",0.554,0.394,11
"5412","2006-06-25",0.771,0.219,11
"5442","2006-06-28",1.01,0.112,11
"5652","2006-07-19",0.525,0.101,11
"5742","2006-07-28",0.679,0.0925,11
"5862","2006-08-09",0.513,0.154,11
"6012","2006-08-24",0.625,0.105,11
"6133","2006-09-05",0.616,0.11,11
"6222","2006-09-14",0.851,0.103,11
"6282","2006-09-20",0.529,0.107,11
"6341","2006-09-26",1.13,0.14,11
"6402","2006-10-02",1.02,0.246,11
"6432","2006-10-05",0.854,0.257,11
"6462","2006-10-08",0.969,0.128,11
"6521","2006-10-14",1.53,0.365,11
"6553","2006-10-17",2.28,0.76,11
"6581","2006-10-20",1.32,0.432,11
"6641","2006-10-26",0.736,0.211,11
"6673","2006-10-29",2.05,1.21,11
"6702","2006-11-01",0.785,0.44,11
"6732","2006-11-04",3.63,1.46,11
"6762","2006-11-07",1.7,0.82,11
"6793","2006-11-10",2.84,0.984,11
"6882","2006-11-19",5.43,0.941,11
"6913","2006-11-22",1.79,1.14,11
"6942","2006-11-25",5.87,1.02,11
"6973","2006-11-28",4.54,1.26,11
"7001","2006-12-01",1.6,0.534,11
"7033","2006-12-04",2.36,1.73,11
"7062","2006-12-07",3.31,1.01,11
"7092","2006-12-10",2.58,0.751,11
"7122","2006-12-13",2.5,0.894,11
"721","2006-12-22",5.85,0.995,11
"7271","2006-12-28",3.16,0.865,11
"7302","2006-12-31",3.72,0.773,11
"7333","2007-01-03",2.04,0.822,11
"7361","2007-01-06",3.41,0.934,11
"7422","2007-01-12",4.76,1.91,11
"7453","2007-01-15",2.35,0.687,11
"7513","2007-01-21",4.37,1.27,11
"7542","2007-01-24",3.34,1.12,11
"7573","2007-01-27",5.44,1.73,11
"7602","2007-01-30",3.41,1.25,11
"7633","2007-02-02",3.62,1.23,11
"7662","2007-02-05",5.51,2.55,11
"769","2007-02-08",3.12,0.613,11
"7722","2007-02-11",1.96,0.66,11
"7753","2007-02-14",3.02,1.04,11
"7782","2007-02-17",3.8,0.871,11
"7842","2007-02-23",7.79,1.68,11
"7873","2007-02-26",3.51,0.838,11
"7932","2007-03-04",3.71,1.56,11
"7993","2007-03-10",2.38,0.356,11
"8022","2007-03-13",3.54,0.819,11
"8053","2007-03-16",3.06,0.721,11
"8081","2007-03-19",3.1,0.857,11
"8113","2007-03-22",1.33,0.293,11
"8141","2007-03-25",3.2,0.889,11
"8172","2007-03-28",3.93,1.44,11
"8202","2007-03-31",2.72,1,11
"8261","2007-04-06",1.51,0.343,11
"8294","2007-04-09",1.06,0.399,11
"8322","2007-04-12",1.02,0.483,11
"8353","2007-04-15",0.794,0.213,11
"8382","2007-04-18",1.05,0.257,11
"8442","2007-04-24",0.618,0.117,11
"8473","2007-04-27",0.944,0.122,11
"8502","2007-04-30",1.1,0.146,11
"8532","2007-05-03",0.728,0.117,11
"8562","2007-05-06",0.869,0.122,11
"8593","2007-05-09",1.17,0.175,11
"8622","2007-05-12",0.952,0.0976,11
"8682","2007-05-18",0.966,0.109,11
"8713","2007-05-21",0.829,0.188,11
"8801","2007-05-30",1.06,0.081,11
"8832","2007-06-02",0.72,0.142,11
"8862","2007-06-05",0.585,0.153,11
"8922","2007-06-11",0.558,0.114,11
"8953","2007-06-14",0.799,0.106,11
"8982","2007-06-17",0.793,0.239,11
"9013","2007-06-20",0.547,0.158,11
"9192","2007-07-08",0.593,0.117,11
"9433","2007-08-01",0.606,0.0733,11
"9733","2007-08-31",0.589,0.248,11
"9822","2007-09-09",0.604,0.169,11
"9913","2007-09-18",0.656,0.136,11
"9973","2007-09-24",0.976,0.25,11
"10002","2007-09-27",0.631,0.151,11
"10032","2007-09-30",0.936,0.197,11
"10122","2007-10-09",0.696,0.185,11
"10153","2007-10-12",1.83,0.489,11
"10182","2007-10-15",1.61,0.741,11
"10213","2007-10-18",1.57,0.494,11
"10242","2007-10-21",2.05,1.11,11
"10273","2007-10-24",1.49,0.446,11
"10302","2007-10-27",2.2,0.956,11
"10333","2007-10-30",2.95,0.54,11
"10362","2007-11-02",1.48,0.664,11
"10393","2007-11-05",2.89,1.05,11
"10422","2007-11-08",1.86,0.497,11
"10453","2007-11-11",3.5,1.42,11
"10512","2007-11-17",0.874,1.06,11
"10542","2007-11-20",2.83,0.488,11
"10573","2007-11-23",1.51,0.471,11
"10602","2007-11-26",1.85,0.502,11
"10633","2007-11-29",4.9,1.24,11
"10662","2007-12-02",0.959,0.163,11
"10693","2007-12-05",2.87,0.983,11
"10722","2007-12-08",2.79,1.06,11
"10753","2007-12-11",1.58,0.641,11
"10782","2007-12-14",1.1,0.499,11
"10813","2007-12-17",4.01,0.946,11
"10873","2007-12-23",6.65,1.21,11
"10902","2007-12-26",2.77,0.891,11
"10933","2007-12-29",2.73,1.13,11
"10961","2008-01-01",4.3,1.04,11
"10993","2008-01-04",1.33,0.872,11
"11022","2008-01-07",3.75,0.908,11
"11053","2008-01-10",1.6,0.45,11
"11082","2008-01-13",1.52,0.432,11
"11112","2008-01-16",3.71,1.5,11
"11142","2008-01-19",4.55,1.6,11
"11173","2008-01-22",1.37,0.328,11
"11202","2008-01-25",3.77,0.765,11
"11233","2008-01-28",4.05,0.825,11
"11262","2008-01-31",4.19,2.08,11
"11293","2008-02-03",4.18,1.21,11
"11382","2008-02-12",2.18,0.409,11
"11413","2008-02-15",1.9,0.326,11
"11441","2008-02-18",2.09,0.708,11
"11473","2008-02-21",1.14,0.52,11
"11533","2008-02-27",3.2,0.941,11
"11562","2008-03-01",1.67,0.143,11
"11593","2008-03-04",3.14,1.82,11
"11622","2008-03-07",0.841,0.22,11
"11682","2008-03-13",1.89,1.37,11
"11713","2008-03-16",0.737,0.237,11
"11742","2008-03-19",1.39,0.33,11
"11773","2008-03-22",2.3,0.555,11
"11802","2008-03-25",1.32,0.267,11
"11832","2008-03-28",1.51,0.798,11
"11862","2008-03-31",1,0.371,11
"11893","2008-04-03",1.01,0.575,11
"11921","2008-04-06",2.29,0.284,11
"11952","2008-04-09",1.95,0.654,11
"11982","2008-04-12",2.03,0.654,11
"12013","2008-04-15",1.67,0.345,11
"12042","2008-04-18",2.29,0.459,11
"12072","2008-04-21",3.36,0.798,11
"12102","2008-04-24",2.34,0.319,11
"12132","2008-04-27",0.903,0.146,11
"12162","2008-04-30",0.842,0.18,11
"12192","2008-05-03",0.676,0.293,11
"12222","2008-05-06",0.782,0.187,11
"12253","2008-05-09",0.799,0.151,11
"12282","2008-05-12",0.562,0.0828,11
"12402","2008-05-24",0.676,0.108,11
"12432","2008-05-27",0.558,0.068,11
"12492","2008-06-02",0.789,0.131,11
"12582","2008-06-11",0.552,0.129,11
"12673","2008-06-20",0.57,0.142,11
